source_keyword,job_title,company,location,salary_text,job_description,job_url,scraped_at
admin staff fresh graduate,Administration Intern,PT Dipo Star Finance,Jakarta Pusat,Rp 2.500.000 – Rp 3.000.000 per month,"Listed more than seven days ago Administration Intern di PT Dipo Star Finance Ini adalah lowongan kerja Full time Jakarta Pusat , Jakarta Raya Rp 2.500.000 – Rp 3.000.000 per month paid internship paid internship subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 7 jam yang lalu 7 jam yang lalu Job Descriptions: 1. Perform data entry tasks and ensure the accuracy of the information entered 2. Assist in the preparation and distribution of reports, presentations, and other documents 3. Manage and archive documents related to the department's project/work 4. Provide administrative support to the department as needed Requirements: 1. Bachelor's degree fresh graduates or final semester students (semester 6-8) are welcome to apply 2. Good Communication 3. Willing to learn and improve 4. Willing to do 3-6 months of internship 5. On-site internship (WFO), Mon-Fri, 8-17 6. Willing to be assigned in Head Office, Senayan, Central Jakarta",https://id.jobstreet.com/id/job/92313533?type=standard&ref=search-standalone&origin=cardTitle#sol=78ddb0665afde3fbe5bf951aac9958b6a7a215bc,2026-05-25 21:06:04
admin staff fresh graduate,Administrative Staff,PT Korea Visa Center Jakarta,Jakarta Selatan,,"Listed more than seven days ago Administrative Staff di PT Korea Visa Center Jakarta Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya Administrative Staff Responsibilities to check visa applications for accuracy, input data, answer customer inquiries, follow procedures.... Administrative Staff Responsibilities to check visa applications for accuracy, input data, answer customer inquiries, follow procedures.... subClassification: Administrasi Kontrak Administrasi Kontrak classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 7 jam yang lalu 7 jam yang lalu Administrative Staff Job Responsibilities: Review and check documents applications for visa processing Ensure all data is entered into the system in an accurate and timely manner with no errors Responds to customer / applicant queries or complaints by provide appropriate solutions and alternatives within the time limits and follow up to ensure resolution Ensure that Standard Operating Procedures, Manuals, etc., are followed without deviating from the established process. Maintain proper recording, documentation, and closure Responsible for logistics-related tasks Able to work with the team and other departments to find appropriate solutions to any complaints or needs that customers may have Job Requirements: Candidate must have at least a ( S1 ), or equivalent <1/2> years of work experience / Fresh graduate are welcome to apply Must have (basic/fluent) spoken and written (English, Bahasa Indonesia, Korean) Excellent interpersonal and customer service skills Good problem-solving and decision-making capabilities Multitasking and organizational skill Available to work between <8:30am-5:30 pm>, 5 working days per week",https://id.jobstreet.com/id/job/92312996?type=standard&ref=search-standalone&origin=cardTitle#sol=74825d02d7dfdf8b4952a5d3fcfb689692b68b40,2026-05-25 21:06:08
admin staff fresh graduate,Sales Administration Staff (Bandung),PT. LEONG HUP JAYAINDO,Bandung,,"Listed more than five days ago Sales Administration Staff (Bandung) di PT. LEONG HUP JAYAINDO Ini adalah lowongan kerja Full time Bandung , Jawa Barat Fast track career progression Enjoy a fair work-life balance Fast track career progression Enjoy a fair work-life balance Mengerjakan terkait adminstrasi sales Mengerjakan terkait adminstrasi sales subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 5 hari yang lalu 5 hari yang lalu Kualifikasi: Pendidikan S1 semua jurusan Pengalaman Minimal 1 Tahun (Fresh Graduate dipersilahkan melamar) Mampu mengoperasikan MS Office Memiliki pengetahuan tentang administrasi dan sistem pergudangan Mampu berkoordinasi dan berkomunikasi dengan baik secara internal dan eksternal Memiliki integritas dan kerjasama team Bertanggung jawab untuk menyelesaikan tugas/pekerjaan yang telah disepakati Bersedia ditempatkan di unit bisnis PT. Leong Hup Jayaindo (PT. Sehat Cerah Indonesia) Penempatan diarea Bandung-Jawa Barat",https://id.jobstreet.com/id/job/92219982?type=standard&ref=search-standalone&origin=cardTitle#sol=85f8b3b3fb61928522c5d22190a362ef73638d71,2026-05-25 21:06:13
admin staff fresh graduate,Data Entry (Internship),Yayasan Adikara Niat,Jakarta Barat,,"Listed more than ten days ago Data Entry (Internship) di Yayasan Adikara Niat Ini adalah lowongan kerja Kontrak/Temporer Jakarta Barat , Jakarta Raya Personal Growth Professional Development Dynamic and Supportive Work Environment Personal Growth Professional Development Dynamic and Supportive Work Environment #FutureMatters is our belief in contribute to brighten the future of youth. #FutureMatters is our belief in contribute to brighten the future of youth. subClassification: Entri Data & Pengolahan Kata Entri Data & Pengolahan Kata classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 10 jam yang lalu 10 jam yang lalu Job Description : Focus in Data Entry of Inventory Assets (rooms, utilities, etc) Make a project (e.g. event, portofolio, etc.) based on field-of-interest Requirements : Candidate must possess at least a Diploma or Bachelor's Degree or a final year student majoring any field Advanced in organizing data/files or any administrative skills Good communication skills (interpersonal and intrapersonal) Good in time management Eager to learn Able to fulltime WFO",https://id.jobstreet.com/id/job/92306221?type=standard&ref=search-standalone&origin=cardTitle#sol=aef002b9ee892e08602a66a69bd7ef11de00caeb,2026-05-25 21:06:18
admin staff fresh graduate,Xtra Product Administration Staff,PT Sinar Mitra Sepadan Finance,Jakarta Selatan,,"Listed more than thirteen days ago Xtra Product Administration Staff di PT Sinar Mitra Sepadan Finance Ini adalah lowongan kerja Full time Jakarta Selatan , Jakarta Raya THR BPJS Kesehatan dan Ketenagakerjaan Bonus Tahunan THR BPJS Kesehatan dan Ketenagakerjaan Bonus Tahunan Menyusun laporan untuk daily activity, Mampu mengoperasikan excel/word secara optimal, Bersedia lembur saat periode EOM marketing & collection. Menyusun laporan untuk daily activity, Mampu mengoperasikan excel/word secara optimal, Bersedia lembur saat periode EOM marketing & collection. subClassification: Administrasi Klien & Penjualan Administrasi Klien & Penjualan classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 13 hari yang lalu 13 hari yang lalu Kualifikasi : Minimal kelulusan D3. Fresh Graduate atau memiliki pengalaman kerja minimal 1 di perusahaan multifinance/pembiayaan Memiliki integritas yang tinggi Dapat bekerja sama dengan tim maupun secara individu Data Analysis & Processing. D ata processing tools ( Misal: Microsoft Excel, Microsoft Word, Ms. PowerPoint ). Menguasai sistem Confins. Memiliki ketelitian tinggi dalam mengerjakan tugas dan memperhatikan detail pekerjaan. Kemampuan Administrasi dan Manajemen. Memiliki kemampuan komunikasi yang baik. Deskripsi Pekerjaan : Menyusun laporan dan data terkait pekerjaan sehari-hari. Mendesain Dashboard/Template monitoring daily monthly achievement sales dan proses Xtra Nasional. Menyusun dan mendistribusikan database eligible Xtra Nasional ke Cabang. Menyusun dan menganalis hasil pelaksanaan assignment dari PIC ( Person In Charge ) Regional. Menangani kendala penggunaan tools dan aplikasi di cabang dan memastikan solusi ditindaklanjuti dengan cepat dan tepat. Mengecek form penutupan kontrak untuk Nominal Dummy Prepayment . Memproses Payment Receive untuk Bank Dummy Xtra dan proses penutupan kontrak. Melakukan pengkinian data debitur Xtra, termasuk pembaruan tipe debitur, perubahan NIK, serta menyusun laporan perubahan data debitur untuk disampaikan kepada Tim Compliance. dll.",https://id.jobstreet.com/id/job/92055375?type=standard&ref=search-standalone&origin=cardTitle#sol=afae1f5e36b4616bb4a1654fa4688b2b0c589283,2026-05-25 21:06:22
admin staff fresh graduate,Kasir (Unit Handling Equipment - HE),PT Jaya Trade Indonesia,Jakarta Raya,,"Listed more than seven days ago Kasir (Unit Handling Equipment - HE) di PT Jaya Trade Indonesia Ini adalah lowongan kerja Full time Jakarta Raya Medical Education Support Retirement Support Medical Education Support Retirement Support Bertanggungjawab atas kas harian operasional Bertanggungjawab atas kas harian operasional subClassification: Bendahara Bendahara classification: Akuntansi (Akuntansi) 7 hari yang lalu 7 hari yang lalu Persyaratan: Pendidikan D3 Akuntansi/Ekonomi - IPK minimal 3.00 Menguasai Microsoft Office (terutama Ms.Excel & Ms.Word) Tegas, tekun, teliti, tangguh dan jujur Mampu bekerja sama dalam tim dan berkomunikasi dengan baik Pengalaman minimal 1 tahun di bidang yang sama, fresh graduate diperkenankan melamar Gambaran Pekerjaan: Memproses administrasi kas kecil (petty cash) Memproses pembayaran Bertanggungjawab atas cash opname Mengelola kebutuhan harian operasional unit",https://id.jobstreet.com/id/job/92177813?type=standard&ref=search-standalone&origin=cardTitle#sol=f93e4f1fbf78c587185462e47a7756df3ceeabe8,2026-05-25 21:06:26
admin staff fresh graduate,Admin Executive,PT Procarre International Indonesia,Jakarta Barat,Rp 5.300.000 – Rp 5.600.000 per month,"Listed more than seven days ago Admin Executive di PT Procarre International Indonesia Ini adalah lowongan kerja Full time Jakarta Barat , Jakarta Raya Rp 5.300.000 – Rp 5.600.000 per month Admin Executive dibutuhkan untuk mendukung administrasi dan operasional harian. Kandidat harus memiliki kemampuan komunikasi dan organisasi yang baik. Admin Executive dibutuhkan untuk mendukung administrasi dan operasional harian. Kandidat harus memiliki kemampuan komunikasi dan organisasi yang baik. subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 7 hari yang lalu 7 hari yang lalu Tanggung Jawab Menangani administrasi dan dokumentasi kantor harian Menyiapkan laporan, surat, dan input data Berkoordinasi dengan tim produksi, gudang, pembelian, dan manajemen Memelihara sistem pengarsipan dan dokumen kepatuhan Memantau persediaan kantor dan mendukung aktivitas pembelian Membantu administrasi karyawan dan penjadwalan Mendukung dokumentasi audit dan ISO bila diperlukan Kualifikasi Diploma/Sarjana di bidang Administrasi Bisnis atau terkait Menguasai Microsoft Office Memiliki kemampuan komunikasi dan organisasi yang baik Mampu bekerja secara multitugas dan mandiri Fresh graduate dipersilakan untuk melamar Benefit BPJS Kesehatan & Ketenagakerjaan Cuti tahunan & tunjangan kesehatan Bonus kinerja Kesempatan pengembangan karier",https://id.jobstreet.com/id/job/92164316?type=standard&ref=search-standalone&origin=cardTitle#sol=a3312d9e74c672525bd4b3c20ea180ddc1f26d4f,2026-05-25 21:06:31
admin staff fresh graduate,Staff Administrasi,CV. Chaakralogi (Chaakra Consulting),Surabaya,Rp 2.400.000 – Rp 3.000.000 per month,"Listed more than seventeen days ago Staff Administrasi di CV. Chaakralogi (Chaakra Consulting) Ini adalah lowongan kerja Full time Surabaya , Jawa Timur Rp 2.400.000 – Rp 3.000.000 per month Bergabunglah dengan tim profesional kami posisi staf Administrasi. Bergabunglah dengan tim profesional kami posisi staf Administrasi. subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 17 hari yang lalu 17 hari yang lalu Chaakra Consulting adalah perusahaan jasa konsultasi dibidang manajemen bisnis, keungan, dan SDM pada para klien di sektor perusahaan Swasta, BUMN/BUMD dan Pemerintahan. Saat ini kami membuka kesempatan bagi talenta muda untuk bergabung dalam tim sebagai staf Administrasi. Kualifikasi: Pendidikan SMA/SMK/Diploma sederajat (fresh graduate welcome to apply) Memahami tata administrasi Mampu menggunakan Microsoft Office Memiliki komunikasi yang baik Inisiatif dan teliti dalam bekerja\ Wajib memiliki kendaraan pribadi Lebih disukai : Memahami dasar pembukuan dan penawaran proyek pemerintah Mampu mengelola dan mendokumentasikan data administrasi operasional",https://id.jobstreet.com/id/job/92002024?type=standard&ref=search-standalone&origin=cardTitle#sol=f24ded554dc25f18f922b52dfb6a44396e565e9c,2026-05-25 21:06:35
admin staff fresh graduate,Admin HR,PT. SUPRA TUSAMAN ABADI,Karawaci,Rp 4.000.000 – Rp 5.000.000 per month,"Listed more than four days ago Admin HR di PT. SUPRA TUSAMAN ABADI Ini adalah lowongan kerja Kontrak/Temporer Karawaci , Banten Rp 4.000.000 – Rp 5.000.000 per month BPJS Kesehatan Fasilitas Makan siang BPJS Kesehatan Fasilitas Makan siang subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 4 jam yang lalu 4 jam yang lalu Kualifikasi lainnya: - Min. S1 Psikologi, Manajemen, atau sejenisnya - Teliti, rapi, dan bisa kerja tim - Menguasai Microsoft Office (terutama Excel) - Pengalaman di HR/Admin (minimal 6 Bulan atau fresh graduate) - Komunikatif dan paham administrasi kepegawaian - Memiliki SIM A - Dapat Join ASAP",https://id.jobstreet.com/id/job/92318272?type=standard&ref=search-standalone&origin=cardTitle#sol=8cfbdfd418139f0575173d8aab9e768fefd68144,2026-05-25 21:06:39
admin staff fresh graduate,Document Compliance Admin,PT Propan Raya Industrial Coating Chemicals,Kabupaten Tangerang,,"Listed more than three days ago Document Compliance Admin di PT Propan Raya Industrial Coating Chemicals Ini adalah lowongan kerja Full time Kabupaten Tangerang , Banten Melaksanakan audit cash guna memastikan kesesuaian saldo kas dengan laporan dan prosedur yang berlaku Melaksanakan audit cash guna memastikan kesesuaian saldo kas dengan laporan dan prosedur yang berlaku subClassification: Asisten Administratif Asisten Administratif classification: Administrasi & Dukungan Perkantoran (Administrasi & Dukungan Perkantoran) 3 hari yang lalu 3 hari yang lalu Responsibility: Melaksanakan audit cash (spotcheck) secara berkala guna memastikan kesesuaian saldo kas dengan laporan dan prosedur yang berlaku Melakukan opname serta verifikasi proses pemusnahan barang agar sesuai dengan ketentuan perusahaan Melakukan monitoring terhadap tindak lanjut dan perbaikan hasil audit agar berjalan efektif dan terdokumentasi dengan jelas Melakukan pemeriksaan compliance dokumen perjalanan dinas seluruh departemen guna memastikan kelengkapan, keabsahan, dan kesesuaian dokumen dengan kebijakan perusahaan yang berlaku. Requirement: S1 Akuntansi Terbuka bagi fresh graduate atau memiliki pengalaman kerja 1–3 tahun di finance accounting atau administrasi dokumen Memiliki kemampuan analisis yang baik serta teliti dalam melakukan pemeriksaan data dan dokumen Mampu mengoperasikan Microsoft Office terutama Excel Memiliki integritas dan tanggung jawab tinggi dalam menjalankan tugas.",https://id.jobstreet.com/id/job/92281939?type=standard&ref=search-standalone&origin=cardTitle#sol=31a54ccf88581a1ddc02db8fe012dd3353e560fd,2026-05-25 21:06:44
